activityTags,actors,business,categoryid,categoryname,cityid,cityname,couponTags,description,id,imgurl,isAtmospheric,iseticket,isgeneralagent,issuperticket,isxuanzuo,name,nameNoHtml,price,price_str,pricehigh,privilegeTags,projectid,promotionTags,showstatus,showtag,showtime,sitestatus,subcategoryid,subcategoryname,subhead,venue,venuecity,venueid,verticalPic,favourable
[],艺人：伍佰,0,1,演唱会,852,北京,[],艺人：伍佰,1_1_603633325258,1741365956,False,0,1,0,0,伍佰&China Blue RockStar 2019演唱会 北京站,伍佰&China Blue RockStar 2019演唱会 北京站,280.0,280-1280,1280.0,[],603633325258,[],售票中,,2019.12.28 周六 19:00,3,13,其他,,凯迪拉克中心,北京,682,https://img.alicdn.com/bao/uploaded/i2/2251059038/O1CN01BfOfyX2GdSCfWAV70_!!2-item_pic.png,
[],艺人：小野丽莎,0,1,演唱会,852,北京,[],艺人：小野丽莎,1_1_605371574003,1758748444,False,0,1,0,0,2020小野丽莎新年演唱会-北京站,2020小野丽莎新年演唱会-北京站,280.0,280-1280,1280.0,[],605371574003,[],售票中,,2020.01.01 周三 19:30,3,13,其他,,北京展览馆剧场,北京,26,https://img.alicdn.com/bao/uploaded/i2/2251059038/O1CN01ZOeipY2GdSCrVGTaf_!!0-item_pic.jpg,
